country,n_rows,n_species,n_antibiotics,years,holdout_year,holdout_auc,holdout_brier,warning
China,7327,42,33,2004-2024,2024,0.8660550060894615,0.12930785428746847,
Hong Kong,1480,13,31,2006-2021,2021,0.8563968349510497,0.11136811172983874,
India,3861,33,30,2004-2024,2024,0.8108659930752217,0.1765685622003502,
Japan,3222,23,33,2012-2024,2024,0.8908584090706934,0.0938949071177734,
Malaysia,2536,19,33,2009-2024,2024,0.8451158966316534,0.1314652700328671,
Pakistan,532,10,16,2004-2017,2017,0.8222821072911296,0.1743988868773953,
Philippines,4001,28,33,2004-2024,2024,0.8087280972595671,0.16317090916508412,
Singapore,903,10,26,2004-2018,2018,0.6995706245109067,0.17438172010361225,
South Korea,4170,25,33,2005-2024,2024,0.850701839609356,0.13824912120309057,
Taiwan,795,10,7,2006-2024,2024,0.7788202422874546,0.1804000456919143,
Thailand,4465,28,33,2008-2024,2024,0.8554645080905358,0.14191922908024404,
